    BusSpeed riscv64 rv64g-opt optimized Sun Sep  4 11:03:02 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3303   3325   3520   3812   4437   4447
      32   3520   3539   3388   3791   4455   4455
      64    681    969   1503   1993   2973   3438
     128    372    525    927   1312   2229   2814
     256    353    498    902   1259   2217   2756
     512    354    502    897   1260   2218   2759
    1024    355    499    897   1260   2219   2759
    4096    132    234    400    764   1540   2649
   16384    132    233    396    750   1504   2645
   65536    133    234    398    750   1513   2622
