    BusSpeed riscv64 rv64g-opt optimized Sun Sep  4 11:03:21 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3271   3326   3591   3806   4437   4449
      32    865   1169   1631   2162   3157   3627
      64    436    609   1066   1479   2433   3013
     128    385    552    947   1342   2241   2847
     256    352    499    896   1259   2219   2757
     512    354    498    898   1259   2206   2760
    1024    353    498    897   1260   2201   2760
    4096    130    233    399    766   1535   2678
   16384    133    232    395    754   1502   2638
   65536    133    233    397    753   1516   2652
