    BusSpeed riscv64 rv64g-opt optimized Sun Sep  4 11:01:22 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3263   3322   3554   4182   4162   4546
      32    862   1140   1695   2279   3122   3655
      64    567    835   1269   1862   2701   3350
     128    403    563    963   1425   2291   2936
     256    353    501    886   1292   2181   2784
     512    353    503    877   1291   2184   2796
    1024    354    503    888   1292   2184   2796
    4096    129    235    395    762   1668   2701
   16384    130    234    391    734   1618   2654
   65536    130    235    392    735   1622   2657
