    BusSpeed riscv64 rv64g-opt optimized Sun Sep  4 11:02:42 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3265   3329   3613   4185   4161   4546
      32    653    932   1426   2012   2854   3472
      64    486    694   1162   1725   2618   3220
     128    399    570    949   1420   2322   2934
     256    351    502    885   1292   2188   2800
     512    354    505    886   1292   2187   2798
    1024    354    504    886   1292   2186   2798
    4096    129    235    395    763   1669   2708
   16384    130    234    390    736   1615   2655
   65536    130    235    392    736   1621   2659
