    BusSpeed riscv64 rv64g-opt optimized Sun Sep  4 11:02:22 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3263   3323   3550   4181   4162   4545
      32    516    702   1112   1661   2506   3140
      64    590    814   1285   1864   2696   3301
     128    375    551    938   1379   2285   2911
     256    352    502    884   1290   2183   2797
     512    354    504    887   1291   2184   2797
    1024    354    504    890   1291   2183   2796
    4096    129    235    395    762   1667   2704
   16384    130    234    391    732   1615   2650
   65536    130    235    392    732   1614   2655
