    BusSpeed riscv64 rv64g-c910 optimized Sun Sep  4 10:54:04 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3255   3321   3608   4183   4159   4546
      32   1843   2324   2412   3709   3941   4319
      64    526    755   1260   1808   2655   3268
     128    376    534    925   1350   2255   2863
     256    352    500    889   1284   2195   2798
     512    356    503    887   1286   2194   2796
    1024    356    503    888   1288   2194   2794
    4096    129    235    394    763   1666   2703
   16384    130    234    390    734   1616   2645
   65536    131    235    392    736   1622   2650
