MemTotal:        3527500 kB
MemFree:          166000 kB
MemAvailable:    3145916 kB
Buffers:          108896 kB
Cached:          2906472 kB
SwapCached:            0 kB
Active:          1581508 kB
Inactive:        1469212 kB
Active(anon):     235728 kB
Inactive(anon):    35424 kB
Active(file):    1345780 kB
Inactive(file):  1433788 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:         35344 kB
Mapped:            30856 kB
Shmem:            235804 kB
KReclaimable:     236980 kB
Slab:             289592 kB
SReclaimable:     236980 kB
SUnreclaim:        52612 kB
KernelStack:        1488 kB
PageTables:         1304 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1763748 kB
Committed_AS:     449164 kB
VmallocTotal:   67108863 kB
VmallocUsed:        7392 kB
VmallocChunk:          0 kB
Percpu:              248 kB
