    BusSpeed aarch64 native optimized Thu Oct 13 05:19:53 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   7837   7846  15142  16667  16768  17272
      32   8542   8572  15203  16709  16793  17281
      64   6796   7080  12739  15620  16528  17210
     128   2188   3893   6634  10693  12836  16817
     256   1929   3386   6008   9983  12581  16796
     512   1785   3103   5737   9924  12699  16786
    1024   1122   2206   4373   8687  12790  16829
    4096    916   1628   3023   5338   9702  15772
   16384    674   1301   2459   4269   7858  14702
   65536    655   1272   2448   4344   7946  14623
