MemTotal:       16083560 kB
MemFree:        14110668 kB
MemAvailable:   15593112 kB
Buffers:           53208 kB
Cached:          1470604 kB
SwapCached:            0 kB
Active:           699040 kB
Inactive:         901028 kB
Active(anon):       1304 kB
Inactive(anon):   102624 kB
Active(file):     697736 kB
Inactive(file):   798404 kB
Unevictable:       23336 kB
Mlocked:            8936 kB
SwapTotal:       1048560 kB
SwapFree:        1048560 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         99616 kB
Mapped:            67276 kB
Shmem:             24632 kB
KReclaimable:     146516 kB
Slab:             214704 kB
SReclaimable:     146516 kB
SUnreclaim:        68188 kB
KernelStack:        3968 kB
PageTables:         3436 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     9090340 kB
Committed_AS:     564588 kB
VmallocTotal:   262930368 kB
VmallocUsed:       18108 kB
VmallocChunk:          0 kB
Percpu:             5600 kB
CmaTotal:           8192 kB
CmaFree:               0 kB
