MemTotal:       31268716 kB
MemFree:        11012200 kB
MemAvailable:   29572192 kB
Buffers:         8163896 kB
Cached:         10091792 kB
SwapCached:            0 kB
Active:          2422188 kB
Inactive:       16279668 kB
Active(anon):      38384 kB
Inactive(anon):   567436 kB
Active(file):    2383804 kB
Inactive(file): 15712232 kB
Unevictable:       18380 kB
Mlocked:               0 kB
SwapTotal:      15634320 kB
SwapFree:       15633808 kB
Dirty:                56 kB
Writeback:             0 kB
AnonPages:        457980 kB
Mapped:           298776 kB
Shmem:            152376 kB
KReclaimable:     839048 kB
Slab:            1042344 kB
SReclaimable:     839048 kB
SUnreclaim:       203296 kB
KernelStack:       10096 kB
PageTables:        12640 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    31268676 kB
Committed_AS:    3708864 kB
VmallocTotal:   135290159040 kB
VmallocUsed:       97436 kB
VmallocChunk:          0 kB
Percpu:             9792 kB
HardwareCorrupted:     0 kB
AnonHugePages:    176128 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         262144 kB
CmaFree:              84 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
