MemTotal:       16100192 kB
MemFree:        14002952 kB
MemAvailable:   15766208 kB
Buffers:          126844 kB
Cached:          1664608 kB
SwapCached:            0 kB
Active:           417128 kB
Inactive:        1393880 kB
Active(anon):        876 kB
Inactive(anon):    36924 kB
Active(file):     416252 kB
Inactive(file):  1356956 kB
Unevictable:       21940 kB
Mlocked:            7540 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:         41604 kB
Mapped:            49332 kB
Shmem:             15428 kB
KReclaimable:     150360 kB
Slab:             205444 kB
SReclaimable:     150360 kB
SUnreclaim:        55084 kB
KernelStack:        3520 kB
PageTables:         2100 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     8050096 kB
Committed_AS:     221360 kB
VmallocTotal:   262930368 kB
VmallocUsed:        7036 kB
VmallocChunk:          0 kB
Percpu:             4096 kB
CmaTotal:         262144 kB
CmaFree:          252656 kB
