MemTotal:        4005768 kB
MemFree:         3297372 kB
MemAvailable:    3721332 kB
Buffers:           23984 kB
Cached:           414364 kB
SwapCached:            0 kB
Active:           218356 kB
Inactive:         351212 kB
Active(anon):        936 kB
Inactive(anon):   149956 kB
Active(file):     217420 kB
Inactive(file):   201256 kB
Unevictable:        8148 kB
Mlocked:              16 kB
SwapTotal:       2002880 kB
SwapFree:        2002880 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        139568 kB
Mapped:           134480 kB
Shmem:             19672 kB
KReclaimable:      45144 kB
Slab:              81508 kB
SReclaimable:      45144 kB
SUnreclaim:        36364 kB
KernelStack:        4160 kB
PageTables:         5840 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     4005764 kB
Committed_AS:    1290804 kB
VmallocTotal:   135290290112 kB
VmallocUsed:       22260 kB
VmallocChunk:          0 kB
Percpu:             2128 kB
CmaTotal:           8192 kB
CmaAllocated:       1568 kB
CmaReleased:        6624 kB
CmaFree:              56 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
