    BusSpeed aarch64 native optimized Mon Oct 16 18:41:11 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5082   5644   6076   6516   6589   4775
      32   2299   2419   3366   5009   5766   4658
      64    897    918   1712   2898   4362   4442
     128    825    851   1567   2699   4192   4446
     256    699    732   1403   2434   3840   4178
     512    178    181    350    668   1304   2535
    1024    162    161    312    594   1175   2410
    4096    159    158    308    606   1209   2396
   16384    159    158    310    611   1217   2406
   65536    158    157    310    612   1214   2403
