MemTotal:       31979312 kB
MemFree:        10510340 kB
MemAvailable:   24681160 kB
Buffers:          510512 kB
Cached:         13861728 kB
SwapCached:            0 kB
Active:          3721924 kB
Inactive:       15957736 kB
Active(anon):       7732 kB
Inactive(anon):  5752528 kB
Active(file):    3714192 kB
Inactive(file): 10205208 kB
Unevictable:       21236 kB
Mlocked:           21236 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1188 kB
Writeback:             0 kB
AnonPages:       5329308 kB
Mapped:          5375064 kB
Shmem:            454024 kB
KReclaimable:     711880 kB
Slab:            1101132 kB
SReclaimable:     711880 kB
SUnreclaim:       389252 kB
KernelStack:       27968 kB
PageTables:        90680 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    18086804 kB
Committed_AS:   19637140 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      224212 kB
VmallocChunk:          0 kB
Percpu:            43776 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     1101328 kB
DirectMap2M:    20021248 kB
DirectMap1G:    11534336 kB
