    BusSpeed amd64 zen4 optimized Fri Sep 30 17:12:58 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  42601  45058  50106  54061  54902  55198
      32  38418  41144  42167  52528  53569  52869
      64  10536  10562  21483  38622  39884  44672
     128  10440  10747  21340  39013  40015  44799
     256  10722  10742  21500  39106  40082  44935
     512  10799  10800  21515  39045  40026  44833
    1024   9611   9404  18200  31494  36937  43138
    4096   6969   8977  18354  31145  37594  42973
   16384   6656   7988  17729  30416  37366  42883
   65536   1335   3441   8741  15768  26973  38116
