Name,Vendor,Architecture,Model,Description,Cores
allwinner-arm-a64-orangepi_win,Allwinner,ARM,A64,Orangepi Win,1
amd-x86-a10_9700e,Amd,X86,A10 9700e,,1
amd-x86-a6_3650,Amd,X86,A6 3650,,1
amd-x86-ryzen_1600x,Amd,X86,Ryzen 1600x,,1
amd-x86-ryzen_3600,Amd,X86,Ryzen 3600,,1
amd-x86-ryzen_3700x,Amd,X86,Ryzen 3700x,,1
amlogic-arm-s922x-odroid_n2,Amlogic,ARM,S922x,Odroid N2,1
broadcom-arm-bcm2711-raspberry_pi4_4gb,Broadcom,ARM,Bcm2711,Raspberry Pi4 4gb,1
huawei-arm-kunpeng920_64_x2,Huawei,ARM,Kunpeng920 64 X2,,1
ibm-powerpc64-ppc970mp,Ibm,POWERPC64,Ppc970mp,,1
intel-x86-atom_z8350,Intel,X86,Atom Z8350,,1
intel-x86-celeron_n3350,Intel,X86,Celeron N3350,,1
intel-x86-core2_duo_t9400,Intel,X86,Core2 Duo T9400,,1
intel-x86-core_i3_m330,Intel,X86,Core I3 M330,,1
intel-x86-core_i7_2600,Intel,X86,Core I7 2600,,1
intel-x86-xeon_6128_x2,Intel,X86,Xeon 6128 X2,,1
intel-x86_core_i7_4700mq,Intel,X86_CORE_I7_4700MQ,,,1
mcst-e2k-elbrus_1c+-bocha,Mcst,E2K,Elbrus 1c+,Bocha,1
mcst-e2k-elbrus_1c+-OSL4.0,Mcst,E2K,Elbrus 1c+,OSL4.0,1
mcst-e2k-elbrus_2c-monocube,Mcst,E2K,Elbrus 2c,Monocube,1
mcst-e2k-elbrus_4c-el2s4,Mcst,E2K,Elbrus 4c,El2s4,1
mcst-e2k-elbrus_8c,Mcst,E2K,Elbrus 8c,,1
mcst-e2k-elbrus_8c-rtc_x86,Mcst,E2K,Elbrus 8c,Rtc X86,1
mcst-e2k-elbrus_8c-x4,Mcst,E2K,Elbrus 8c,X4,1
mcst-e2k-elbrus_8c-x4_e2k_clang,Mcst,E2K,Elbrus 8c,X4 E2k Clang,1
mcst-e2k-elbrus_8c2-1200,Mcst,E2K,Elbrus 8c2,1200,1
mcst-e2k-elbrus_8c2-1550,Mcst,E2K,Elbrus 8c2,1550,1
mcst-e2k-elbrus_8c2-1550_rtc_x86,Mcst,E2K,Elbrus 8c2,1550 Rtc X86,1
mcst-sparc-elbrus_r1000,Mcst,SPARC,Elbrus R1000,,1
mcst-sparc-elbrus_r2000,Mcst,SPARC,Elbrus R2000,,1
nvidia-arm-tegra_xavier_t194-jetson_agx,Nvidia,ARM,Tegra Xavier T194,Jetson Agx,1
qualcomm-arm-snapdragon_625_xiaomi-note4x,Qualcomm,ARM,Snapdragon 625 Xiaomi,Note4x,1
qualcomm-arm-snapdragon_630-yaphone,Qualcomm,ARM,Snapdragon 630,Yaphone,1
samsung-arm-exynos_4412-odroid_x2,Samsung,ARM,Exynos 4412,Odroid X2,1
amd64_clang_9700E,Amd64_clang_9700E,,,,1
amd64_clang,Amd64_clang,,,,1
amd64_clang_1600X,Amd64_clang_1600X,,,,1
allwinner-arm-h5-orangepi_pc2,Allwinner,ARM,H5,Orangepi Pc2,1
ibm-powerpc-750FX,Ibm,POWERPC,750FX,,1
intel-x86-pentium3_933,Intel,X86,Pentium3 933,,1
intel-x86-pentium4_prescott_2800,Intel,X86,Pentium4 Prescott 2800,,1
intel-x86-pentium_m725,Intel,X86,Pentium M725,,1
mcst-e2k-elbrus_8c2,Mcst,E2K,Elbrus 8c2,,1
qualcomm-mips32-qca5502,Qualcomm,MIPS32,Qca5502,,1
transmeta-x86-crusoe_tm5800,Transmeta,X86,Crusoe Tm5800,,1
broadcom-arm-bcm2838b0-raspberry_pi3,Broadcom,ARM,Bcm2838b0,Raspberry Pi3,1
