MemTotal:        8083404 kB
MemFree:         2163912 kB
MemAvailable:    7186460 kB
PageSize:   	      16 kB
Buffers:           87716 kB
Cached:          5003884 kB
SwapCached:         1664 kB
Active:          4579624 kB
Inactive:         909504 kB
Active(anon):     166308 kB
Inactive(anon):   250192 kB
Active(file):    4413316 kB
Inactive(file):   659312 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       9698300 kB
SwapFree:        9688828 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:        386316 kB
Mapped:           215364 kB
Shmem:             18976 kB
KReclaimable:     154124 kB
Slab:             294156 kB
SReclaimable:     154124 kB
SUnreclaim:       140032 kB
KernelStack:        5808 kB
PageTables:         8668 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    13740000 kB
Committed_AS:    1800356 kB
VmallocTotal:   262930368 kB
VmallocUsed:       11500 kB
VmallocChunk:          0 kB
Percpu:             4256 kB
HardwareCorrupted:     0 kB
AnonHugePages:    122880 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:             924 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
