    BusSpeed i686 i386 optimized Tue Mar 21 15:13:26 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3282   1816   4780   7483   8446   8673
      32   1975   1969   3040   4575   4920   6602
      64   1901   1950   3092   4584   4934   6471
     128   1952   1977   3123   4581   4944   6465
     256   1911   1967   3089   4383   4897   6581
     512    650    991   1751   2764   3795   5535
    1024    130    246    492    921   1644   2979
    4096     75    149    306    580   1112   2122
   16384     76    149    306    593   1114   2126
   65536     76    149    306    591   1104   2133
