    BusSpeed i686 i686 optimized Tue Mar 21 15:15:18 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3264   1801   4827   7480   8236   8821
      32   1934   1982   3054   4502   4900   6565
      64   1959   1948   3131   4618   4942   6502
     128   1998   1988   3066   4610   4949   6500
     256   1927   1960   3095   4420   4903   6467
     512   1769   1919   2983   4156   4799   6419
    1024    152    285    558   1047   1831   3234
    4096     75    149    306    591   1110   2127
   16384     76    149    301    591   1113   2113
   65536     75    149    307    592   1112   2134
