MemTotal:        1539756 kB
MemFree:          834692 kB
MemAvailable:    1177940 kB
Buffers:           62740 kB
Cached:           439468 kB
SwapCached:            0 kB
Active:           290596 kB
Inactive:         332344 kB
Active(anon):     121652 kB
Inactive(anon):     1384 kB
Active(file):     168944 kB
Inactive(file):   330960 kB
Unevictable:           0 kB
Mlocked:               0 kB
HighTotal:        665544 kB
HighFree:          94260 kB
LowTotal:         874212 kB
LowFree:          740432 kB
SwapTotal:       1809216 kB
SwapFree:        1809216 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:        120772 kB
Mapped:           111648 kB
Shmem:              2284 kB
KReclaimable:      20288 kB
Slab:              38240 kB
SReclaimable:      20288 kB
SUnreclaim:        17952 kB
KernelStack:        1856 kB
PageTables:         4876 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2579092 kB
Committed_AS:    1387900 kB
VmallocTotal:     122880 kB
VmallocUsed:        5960 kB
VmallocChunk:          0 kB
Percpu:              384 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:       51192 kB
DirectMap2M:      856064 kB
