    BusSpeed riscv64 rv64g optimized Fri Aug  5 15:43:36 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1477   1621   1800   1862   1896   1899
      32    179    196    486   1152   1491   1679
      64     78    103    180    359    720   1096
     128     80     61    176    355    759   1091
     256     79    105    176    335    755   1089
     512     81    104    103    330    755   1089
    1024     81    101    178    356    758   1077
    4096     80     93     93    351    742   1063
   16384     78     91    175    347    740   1050
   65536     77     73     67    354    753   1070
