    BusSpeed riscv64 rv64g-opt optimized Thu Feb 24 23:24:10 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1183   1490   1300   1338   1316   1347
      32    173    297    420    961   1159   1250
      64     78    110    165    282    648    821
     128     77    112    157    300    634    823
     256     80    112    168    300    614    822
     512     84    111    176    304    623    815
    1024     83    111    172    300    642    820
    4096     80    106    166    292    605    810
   16384     80    109    165    300    639    798
   65536     80    107    173    298    652    799
