    BusSpeed riscv64 rv64g-opt optimized Sat Aug  6 12:55:24 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1574   1649   1831   1905   1925   1928
      32    238    307    446   1269   1525    939
      64    110    123    165    330    708   1073
     128    106    127    164    326    707    880
     256    114    126    162    328    705   1002
     512    114    127    163    329    708   1003
    1024     61    126    165    330    706   1067
    4096    106    124    162    305    692   1046
   16384     40    124    161    304    686   1040
   65536    107    123    165    326    694    623
