    BusSpeed riscv64 rv64g-opt optimized Sat Aug  6 12:57:05 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1573   1663   1785   1902   1923   1820
      32    236    323    447    674   1538   1727
      64    109    123    165    312    711   1074
     128    112    127    163    172    703   1059
     256    113    127    155    330    700   1057
     512    114    128    157    329    458   1065
    1024    114    120    164    328    703   1058
    4096    103    124    161    286    683    986
   16384    107    123    161    320    647   1035
   65536    107    120     57    327    699   1048
