    BusSpeed riscv64 rv64g optimized Fri Aug  5 15:40:47 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1590   1670   1818   1906   1925   1921
      32    244    354    287   1387   1606   1743
      64    110    128    161    296    687    965
     128    113    132    161    149    689    966
     256    114    132    158    308    689    966
     512    114    132    164    300    369    961
    1024    115    130    156    318    687    968
    4096    110    122    163    314    684    344
   16384    109    118    162    312    680    947
   65536    106    119    167    318    295    587
