    BusSpeed riscv64 rv64g-opt optimized Sat Aug  6 12:58:13 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1181   1455   1305   1334   1343   1345
      32    180    293    409   1020    630   1237
      64     77    106    153    289    665    893
     128     79    103    162    291    358    893
     256     78    102    163    292    657    886
     512     79    110    163    293    659    887
    1024     43    107    166    292    669    894
    4096     74    105    163    287    655    884
   16384     76    105    160    286    612    873
   65536     77    105    156    179    653    882
