MemTotal:         503628 kB
MemFree:           56800 kB
MemAvailable:     252916 kB
Buffers:           23444 kB
Cached:           188400 kB
SwapCached:            0 kB
Active:           294412 kB
Inactive:          91908 kB
Active(anon):     175328 kB
Inactive(anon):     9324 kB
Active(file):     119084 kB
Inactive(file):    82584 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        174524 kB
Mapped:            99664 kB
Shmem:             10176 kB
KReclaimable:      12680 kB
Slab:              31472 kB
SReclaimable:      12680 kB
SUnreclaim:        18792 kB
KernelStack:        2704 kB
PageTables:         3456 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      251812 kB
Committed_AS:    1073584 kB
VmallocTotal:   67108863 kB
VmallocUsed:        3220 kB
VmallocChunk:          0 kB
Percpu:               64 kB
CmaTotal:           8192 kB
CmaFree:               0 kB
