Платформа;Процессор;Ядер;Тактовая частота (MHz);Архитектура
Xeon 6128;Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz (2 CPU);24;3400;amd64
Core i7-4700MQ;Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz;8;2400;amd64
Core i7-2600;Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz;8;3400;amd64
Core 2 Duo T9400;Intel(R) Core(TM) 2 Duo CPU     T9400  @ 2.53GHz;2;2530;amd64
Core i3-m330;Intel(R) Core(TM) i3 CPU       M 330  @ 2.13GHz;4;2133;amd64
Celeron N3350;Intel(R) Celeron(R) CPU N3350 @ 1.10GHz;2;1100;amd64
Atom Z8350;Intel(R) Atom(TM) x5-Z8350 CPU @ 1.44GHz;4;1440;amd64
AMD A6-3650;AMD A6-3650 APU with Radeon(tm) HD Graphics;4;2600;amd64
Pentium M725;Pentium M725 600 / 1600;1;600;i386
Pentium 4;Intel(R) Pentium(TM) 4 CPU;1;2800;i386
Pentium III;Intel(R) Pentium(TM) III CPU;1;1000;i386
Pentium III 933;Intel(R) Pentium(TM) III 933;1;933;i386
AWS Graviton;Alpine AL73400;16;2300;aarch64
Odroid N2;Amlogic S922X;6;1800;aarch64
Odroid X2;Samsung Exynos 4412 (armv7l);4;1700;arm
Orange Pi PC2;Allwinner H5 (aarch64);4;1152;aarch64
Orange Pi Win;Allwinner A64 (aarch64);4;1344;aarch64
Raspberry PI 3;Broadcom BCM2837B0 (armv8);4;1200;aarch64
Huawei Server;Kunpeng 920 (armv8.4 2 CPU);128;2600;aarch64
Raspberry PI;Broadcom BCM2835;1;700;arm
E16C-APPROX!;Elbrus 16;16;2000;e2k
E8C2-1550;Elbrus 8C2 (E8C2 1550 MHz);8;1550;e2k
E8C2;Elbrus 8C2 (E8C2);8;1500;e2k
E8C2-1200;Elbrus 8C2 (Broken 8MB Cache 1.2 GHz);8;1200;e2k
E8C-SWTX;Elbrus 8C (E8C-SWTX);8;1300;e2k
E8C-E8C4;Elbrus 8C (4 CPU);32;1300;e2k
E2S-EL2S4;Elbrus 4C [EL2S4] (4 CPU);16;750;e2k
E2S-PC401;Elbrus 4C [E2S] (pc401);4;800;e2k
MBE1C-PC;Elbrus 1C+ (MBE1C-PC);1;985;e2k
E2C+DSP;Elbrus 2C;1;500;e2k
Baikal T1 BFK;Baikal-T1 (MIPS P5600 V3.0);2;1200;mips
R1000;R1000 MBC4-PC1;4;1000;sparc64
R2000;R2000 MP1C2/V;8;2000;sparc64
TM5800;Transmeta Crusoe TM5800;1;1000;i386
