Platform;MWIPS;MWIPS (multicore)
Core i7-2600;5729.52;31319.00
Core 2 Duo T9400;2910.33;5195.00
AMD A6-3650;3718.16;12113.00
Atom Z8350;2085.24;6636.00
Raspberry PI;270.50;270.50
AWS Graviton;2851.80;44741.00
Odroid N2;2136.98;9931.00
Odroid X2;1305.16;4291.00
Orange Pi PC2;980.26;3798.00
Raspberry PI 3;997.20;2779.80
Orange Pi Win;700.60;1854.00
E8C-SWTX;1517.62;12980.00
E8C-E8C4;1647.51;53563.00
E8C2-1550;2080.896.75;16879.00
E8C2;1703.75;14571.94
E8C2-LOW;1545.92;12420.00
E2S-EL2S4;970.80;15790.00
E2S-PC401;938.12;2455.00
MBE1C-PC;1277.55;1312.00
Pentium 4 ;1119.00;1119.00
Pentium III ;816.00;816.00
Baikal T1 BFK;613.50;1227.00
