Platform;32 ops/w – 102400 4B words;32 ops/w – 1024000 4B words;32 ops/w – 10240000 4B words
Core i7-2600;81936.00;82606.00;68539.00
Core 2 Duo T9400;24236.00;24129.00;13724.00
AMD A6-3650;42202.00;34047.00;26819.00
Atom Z8350;10665.00;10456.00;10419.00
AWS Graviton;113635.00;117449.00;81767.00
Odroid N2;21407.00;18311.00;18102.00
Odroid X2;3276.00;3230.00;3224.00
Orange Pi PC2;6033.00;5797.00;5826.00
Raspberry PI 3;2081.00;2131.00;2141.00
E8C-SWTX;146865.00;160334.00;68001.00
E8C-E8C4;402357.00;461200.00;378806.00
E8C2;340646.25;378225.00;171045.00
E8C2-LOW;272517.00;302580.00;136836.00
E2S-EL2S4;116234.00;133304.00;58729.00
E2S-PC401;35782.00;35757.00;24169.00
MBE1C-PC;15676.00;15626.00;15641.00
Pentium 4 ;1867.60;1872.43;1875.65
