Платформа;Linpack (single-thread)
AWS Graviton;1 548,65
Odroid N2;845,09
Orange Pi PC2;163,44
Orange Pi Win;174,04
Raspberry PI 3;180
Huawei Server;3 368,37
AMD A6-3650;1 750,03
AMD Ryzen 7 3700X;7004,23
Atom Z8350;1 021,44
Celeron N3350;1999,76
Core 2 Duo T9400;1 816,02
Core i3-m330;2 155,62
Core i7-2600;4 302,89
Core i7-4700MQ;4 915,84
Xeon 6128;6 105,95
Odroid X2;268,73
Raspberry PI;42
E16C-APPROX*;1 675,42
E2C3-NEXT;1623,07
E2S-EL2S4;632,51
E2S-PC401;674,68
E8C2;1 257,24
E8C2-1200;1 005,79
E8C2-1550;1 269,79
E8C-E8C4;1 089,02
E8C-SWTX;1 075,27
MBE1C-PC;814,76
Pentium 4;906,40
Pentium III;316,67
Pentium III 933;342,97
Pentium M725;338,82
Baikal T1 BFK;
Baikal M1000;1012,27
E2C+DSP;398,17
R1000;132,01
R2000;920,48
TM5800;185,13
PowerPC 750FX 800;199,88
PPC970MP;1297,74
Apple M1;8153,13
NVidia Xavier T194;2266
