Platform;8 ops/w – 102400 4B words;8 ops/w – 1024000 4B words;8 ops/w – 10240000 4B words
Core i7-2600;83624.00;84536.00;17643.00
Core 2 Duo T9400;16025.00;16043.00;3813.00
AMD A6-3650;31623.00;17883.00;8640.00
Atom Z8350;11934.00;5077.00;4204.00
AWS Graviton;90387.00;94494.00;20880.00
Odroid N2;23657.00;5398.00;5318.00
Odroid X2;2077.00;1987.00;2015.00
Orange Pi PC2;6597.00;1909.00;1896.00
Raspberry PI 3;4621.00;1699.00;1737.00
E8C-SWTX;98423.00;93145.00;17994.00
E8C-E8C4;193019.00;279431.00;279598.00
E8C2;176587.50;246778.75;45366.25
E8C2-LOW;141270.00;197423.00;36293.00
E2S-EL2S4;100732.00;121570.00;16075.00
E2S-PC401;22592.00;17738.00;12125.00
MBE1C-PC;10453.00;7041.00;7003.00
Pentium 4 ;1344.35;1315.37;1230.04
