Platform;2 ops/w – 102400 4B words;2 ops/w – 1024000 4B words;2 ops/w – 10240000 4B words
Core i7-2600;43309.00;35180.00;4454.00
Core 2 Duo T9400;6614.00;6501.00;949.00
AMD A6-3650;16325.00;4294.00;2226.00
Atom Z8350;5725.00;1303.00;1052.00
AWS Graviton;61397.00;47660.00;5169.00
Odroid N2;9859.00;1360.00;1328.00
Odroid X2;893.00;598.00;620.00
Orange Pi PC2;2737.00;482.00;475.00
Raspberry PI 3;1375.00;441.00;435.00
E8C-SWTX;46965.00;65423.00;4505.00
E8C-E8C4;134841.00;121759.00;116454.00
E8C2;66331.25;91061.25;11448.75
E8C2-LOW;53065.00;72849.00;9159.00
E2S-EL2S4;55325.00;81983.00;3706.00
E2S-PC401;16319.00;17495.00;2998.00
MBE1C-PC;7804.00;2103.00;2089.00
Pentium 4 ;355.81;360.64;328.44
