Платформа;Composite Score;FFT;SOR;MonteCarlo;Sparse matmult;LU
Raspberry PI;42,5;38,39;71,26;21,58;43,69;37,59
Orange Pi Win;169,22;150,49;276,78;76,72;166,98;175,11
Orange Pi PC2;191,59;147,36;283,1;64,07;185,46;277,94
Huawei Server;1 477,36;1 185,13;1 090,89;431,59;1 473,08;3 206,11
MBE1C-PC;379,23;174,82;364,42;97,02;132,92;1126,98
E8C2-1200;469,46;212,71;446,05;118,25;166,34;1 403,94
E8C2-1550;472,24;266,7;501,81;84,95;304,82;1202,94
Atom Z8350;509,44;267,6;719,12;178,04;497,19;885,27
E8C-SWTX;511,43;235,71;481,74;132,23;186,18;1521,26
Core i3-m330;1 002,61;759,27;967,15;290,85;933,71;2 062,08
AMD A6-3650;1 028,44;775,83;989,81;344,97;1 272,17;1 759,44
Core 2 Duo T9400;1 051,93;720,56;1 201,02;307,36;1 119,72;1 911,00
Core i7-2600;1 800,00;1 517,97;1 636,33;515,34;1 981,74;3 348,64
Core i7-4700MQ;2 071,26;1 693,12;1 599,69;568,17;2 148,40;4 346,91
Xeon 6128;2 427,42;2 011,19;1 564,17;753,09;2 878,47;4 930,18
E2C+DSP;155,4;97,27;171,33;30,25;93,08;385,05
