Платформа;Coremark (single-thread);Coremark (multi-thread)
AWS Graviton;0;0
Huawei Server;19 309,99;2 196 796,34
Odroid N2;0;0
Orange Pi PC2;3 869,72;14 901,28
Raspberry PI 3;3 841,00;15 363,93
Orange Pi Win;3 840,98;15 370,82
Atom Z8350;6 893,09;23 814,68
Core 2 Duo T9400;12 481,28;23 950,66
Core i3-m330;9 980,95;24 252,71
AMD A6-3650;11 810,56;41 666,67
Core i7-2600;22 692,89;119 670,91
Core i7-4700MQ;24 295,43;123 260,23
Xeon 6128;28 210,73;670 625,22
Raspberry PI;1 303,78;1 303,78
Odroid X2;6 109,07;24 162,55
MBE1C-PC;2 901,49;2 848,32
E8C2-1200;3 413,36;26 396,83
E8C-SWTX;4 907,57;35 395,62
E8C2;5 510,19;39 941,90
E2S-EL2S4;2 216,48;34 457,87
E8C2-1550;4 359,51;34 485,24
E2S-PC401;2 364,24;36 755,06
E16C-APPROX!;5 625,18;88 994,16
E8C-E8C4;3 813,64;117 885,43
Pentium M725;2 018,44;2 018,44
Pentium III;2 246,57;2 246,57
Pentium 4;5 941,45;5 941,45
Baikal T1;6 182,00;12 364,00
