Платформа;MWIPS (single-thread);MWIPS (multi-thread);MWIPS (mono);MWIPS (netcore);MWIPS (java);MWIPS (js)
Baikal T1 BFK;613,5;1 227,00;;;;
Pentium M725;506,94;506,94;;;;
Pentium III;816;816;;;;
Pentium III 933;725,205;725,205;;;;
Pentium 4;1252,00;1267;;;;
E2S-PC401;938,12;2 455,00;;;;
E2S-EL2S4;970,8;15 790,00;;;;
MBE1C-PC;1 277,55;1 312,00;388,32;;390,89;
E8C-SWTX;1 748,37;13 818,00;522,99;;1036,59;35,3
E8C2-1200;1 545,92;12 420,00;;;;
E8C-E8C4;1 647,51;53 563,00;521,7;;1022,26;35,1
E8C2-1550;1 703,75;14 571,94;;;;
E8C2;2 037,62;16 194,00;;;;
E16C-APPROX!;2 717,00;43 184,00;;;;
Raspberry PI;272,91;272,91;;;;54,68
Odroid X2;1 305,16;4 291,00;256,84;650,11;;
Atom Z8350;2 085,24;6 636,00;;;;
Celeron N3350;3883,388;7567;1434,620;2131,67;;
Core i3-m330;2 824,97;8 837,00;;;;
Core 2 Duo T9400;2 910,33;5 195,00;1 565,27;1 992,41;;
AMD A6-3650;3 718,16;12 113,00;1 607,52;1 823,62;2 127,90;2098,08
AMD Ryzen 7 3700X;7778,087;110870,00;;;;
Core i7-4700MQ;5 326,90;35 234,00;;;;
Core i7-2600;5 729,52;31 319,00;2 751,55;3 262,26;;
Xeon 6128;5 850,41;123 854,00;;;;
Orange Pi Win;700,6;1 854,00;;359;;102,18
Orange Pi PC2;980,26;3 798,00;349,36;400,24;;172,81
Raspberry PI 3;997,2;2 779,80;;;183,43;
Odroid N2;2 136,98;9 931,00;;;;
AWS Graviton;2 851,80;44 741,00;;;;
Huawei Server;4 340,75;544 503,55;;;;
E2C+DSP;626,655;1 215,00;;;;
R1000;925,99;3 518,76;;;;
R2000;2 252,50;17 119,00;;;;
TM5800;313,94;321;;;;
PowerPC 750FX 800;542,504;542,504;;;;
