Platform;16 KB;512 KB;8192 KB
Core i7-2600;75334;54605;32432
Core 2 Duo T9400;18113;9344;8153
AMD A6-3650;40988;36529;8523
Raspberry PI;731;127;127
AWS Graviton;7344;18328;21796
Odroid N2;9876;8463;3966
Odroid X2;2543;1472;1271
Orange Pi PC2;2872;1179;1009
Raspberry PI 3;2240;1906;954
Orange Pi Win;2771;1787;1028
E8C-SWTX;37806;29193;24114
E8C-E8C4;35758;27681;23172
E8C2-1550;39990;42034;36355
E8C2-1200;30016;34232;28920
E2S-EL2S4;20662;23032;7809
E2S-PC401;10053;6591;2092
MBE1C-PC;10999;11421;9663
