Platform;Coremark;Coremark (multithread)
Core i7-2600;22692.889561;119670.905011
Core 2 Duo T9400;12481.278083;23950.661637
AMD A6-3650;11810.558639;41666.666667
Atom Z8350;6893.094373;23814.678502
Raspberry PI;1303.78;1303.78
Odroid X2;6109.074753;24162.548051
Orange Pi PC2;3869.719445;14901.279026
Raspberry PI 3;3841;15363.93
Orange Pi Win;3840.983292;15370.821058
E8C-SWTX;3711;28846.153846
E8C-E8C4;3813.640119;117885.430096
E8C2;4266.7;33165.69
E8C2-LOW;3413.357606;26396.83238
E2S-EL2S4;2216.475803;34457.87231474
E2S-PC401;2364.24;36755.06
MBE1C-PC;2901.49427;2848.318157
Pentium 4 ;5941.45;5941.45
Pentium III ;2246.570438799;2246.570438799
Baikal T1;6182;12364
