Платформа;VAX Dhrystones (single-thread);VAX Dhrystones (mono);VAX Dhrystones (netcore)
Orange Pi Win;2 370,00;;
Raspberry PI 3;2 469,00;;
Orange Pi PC2;2 949,12;575,71;747,6
Odroid N2;8 230,00;;
AWS Graviton;11 377,63;;
Huawei Server;21 011,57;;
Atom Z8350;4 677,30;;
Celeron N3350;10749,76;;
Core i3-m330;10 919,40;;
AMD A6-3650;11 455,81;2233,72;4388,21
AMD Ryzen 7 3700X;28977,31;;
Core 2 Duo T9400;13 308,91;;
Core i7-2600;22 076,97;;
Core i7-4700MQ;22987,48;;
Xeon 6128;25 195,31;;
Raspberry PI;847;;
Odroid X2;4 495,03;;
E8C2;8 974,78;;
E2S-EL2S4;3 329,51;;
E2S-PC401;3 548,80;;
E8C2-1200;3 554,46;;
MBE1C-PC;1922;;
E8C2-1550;5 357,45;;
E8C-E8C4;5 844,82;;
E8C-SWTX;7779,4;704,04;
E16C-APPROX!;11 965,00;;
Pentium M725;1 085,68;;
Pentium III;1 595,00;;
Pentium III 933;1278,27
Pentium 4;2574,86;;
Baikal T1 BFK;3 650,00;;
E2C+DSP;823,07;;
R1000;1 482,19;;
R2000;3 490,52;;
TM5800;813,44;;
PowerPC 750FX 800;1078,50;;
