Platform;16 KB;512 KB;8192 KB
Core i7-2600;73499;53366;32794
Core 2 Duo T9400;9737;14189;8249
AMD A6-3650;40930;37749;8578
Raspberry PI;602;127;127
AWS Graviton;21353;17418;7336
Odroid N2;8452;8214;3888
Odroid X2;2403;1464;1261
Orange Pi PC2;3490;1224;1039
Raspberry PI 3;1814;1598;1019
Orange Pi Win;2672;1752;1019
E8C-SWTX;37160;29195;24130
E8C-E8C4;35377;27882;23315
E8C2;41032;41708;33881
E8C2-LOW;29062;34168;28890
E2S-EL2S4;20404;22714;7975
E2S-PC401;20721;22106;8491
MBE1C-PC;28070;31305;5856
