MemTotal:       33246432 kB
MemFree:        30784224 kB
MemAvailable:   30190688 kB
Buffers:            2192 kB
Cached:          1198784 kB
SwapCached:            0 kB
Active:          1379952 kB
Inactive:         527792 kB
Active(anon):     715600 kB
Inactive(anon):    37520 kB
Active(file):     664352 kB
Inactive(file):   490272 kB
Unevictable:       12560 kB
Mlocked:           12560 kB
SwapTotal:       9227440 kB
SwapFree:        9227440 kB
Dirty:               288 kB
Writeback:             0 kB
AnonPages:        719328 kB
Mapped:           457168 kB
Shmem:             42960 kB
Slab:             204784 kB
SReclaimable:      64432 kB
SUnreclaim:       140352 kB
KernelStack:        7616 kB
PageTables:        21328 kB
Quicklists:       125296 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    25850656 kB
Committed_AS:    3993024 kB
VmallocTotal:   136360951775 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
Percpu:             1792 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:      32768 kB
Hugetlb:               0 kB
