MemTotal:         491616 kB
MemFree:          242984 kB
MemAvailable:     384896 kB
Buffers:           19480 kB
Cached:           104584 kB
SwapCached:         7720 kB
Active:            70008 kB
Inactive:          73656 kB
Active(anon):        432 kB
Inactive(anon):    27872 kB
Active(file):      69576 kB
Inactive(file):    45784 kB
Unevictable:       19344 kB
Mlocked:           19344 kB
SwapTotal:        499792 kB
SwapFree:         442304 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:         34224 kB
Mapped:            29464 kB
Shmem:               128 kB
KReclaimable:      37328 kB
Slab:              65136 kB
SReclaimable:      37328 kB
SUnreclaim:        27808 kB
KernelStack:        2128 kB
PageTables:         6056 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      745600 kB
Committed_AS:     344848 kB
VmallocTotal:   6438256640 kB
VmallocUsed:        5488 kB
VmallocChunk:          0 kB
Percpu:              352 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       8192 kB
Hugetlb:               0 kB
