    BusSpeed arm64 armv8.4-a optimized Sat Jan 28 13:17:43 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  20519  27799  35683  37285  37458  49372
      32  22295  30332  35929  37526  37519  49821
      64  22377  30396  36553  37512  37510  49879
     128  21228  27602  29948  35808  37225  48791
     256   6701   6700  13403  22322  28308  49096
     512   6784   6752  13385  22652  28415  49177
    1024   6868   6813  13526  22693  28453  49685
    4096   6812   6775  13335  22488  28816  48830
   16384   3692   5664  10887  19450  26962  45127
   65536   1867   4157   8051  15733  27903  47062
