    BusSpeed arm64 native optimized Sat Jan 28 13:18:13 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16  20464  27930  36129  37499  37791  49866
      32  22343  30535  36205  37570  37842  50219
      64  22312  30545  36976  37815  37891  50402
     128  21365  27815  29819  35772  37390  49153
     256   6742   6749  13462  22510  28470  49310
     512   6835   6938  13493  22715  28641  49290
    1024   6754   6755  13187  22351  28614  49190
    4096   6832   6816  13268  22413  28759  48559
   16384   4112   5705  10873  19235  26975  44913
   65536   1860   4111   8017  15663  27462  46818
